question,level
Give classification of dyes on the basis of application.,Analysis
Explain the working of hydrogen fuel cell.,Knowledge
Derive an expression for the inductance of three phase overhead transmission line when conductors are unsymmetrical spaced buttransposed.,Analysis
"Distinguish between Ideal sampling, Natural sampling and Flat-Top sampling.",Knowledge
What is Stack?,Knowledge
Draw and explain the forward feed multiple effect evaporator.,Knowledge
Explain battery ignition system in detail with neat sketch.,Knowledge
Explain in detail Ultrasonic flow inspection test for testing of Engineering materials.,Application
Explain Scan line polygon filling Algorithm?,Knowledge
Differentiate between soft and hard magnetic material.,Analysis
State and explain Henrys law and give its applications.,Analysis
What is microprocessor?,Knowledge
Discuss all four cases to determine direction of Coriolis components of acceleration when block is sliding on rotating link.,Analysis
Explain how surcharge will affect earth pressure for cohesionless and cohesion soils in active state with pressure diagrams.,Analysis
Define following.,Knowledge
A pipe line carrying water has average height of irregularities projecting from the surface of the boundary of the pipe as 0.,Evaluation
Find the Laplace Transform and find ROC.,Application
Compare python list and linked lists.,Knowledge
Explain the Segment Translation Process with a neat diagram of 80386.,Knowledge
Find the Shear Force Diagram and Bending Moment diagram for beam in figure below.,Application
Find directional derivative of  = e2x cos ( yz) at the origin in the direction tangent to the curve r = a sin t + i + a cos t j + at k at t = 4.,Application
What is fractal?,Knowledge
Calculate minimum specific energy and maximum discharge corresponding to specific energy of 1.,Application
Write an algorithm to insert an element in a binary search tree implemented using linked representation.,Knowledge
Explain concept of rotating magnetic field in ease of 3 phase induction motor.,Comprehension
What is evaporation?,Knowledge
What are applets?,Knowledge
Evaluate the principal stresses and principal planes for the state of stress shown in Figure.,Application
Determine the width of a 9.,Application
"Explain in brief, the following:",Comprehension
What is Inheritance?,Knowledge
Write a short note on block brakes.,Knowledge
Explain reading character and string from input console with suitable examples.,Comprehension
Explain steps involved in the stability analysis of slopes by method of slices.,Knowledge
Give the sulphonating agents and mechanism involve in sulfonation of benzene.,Knowledge
A three phase transmission line has its conductors at the corner of equilateral triangle with side of 3 meter.,Analysis
Define creep of concrete. What are the factors affecting on creep of concrete?,Knowledge
Draw the ASM chart for the following state machine.,Application
The air standard diesel cycle has a compression ratio of 14.,Application
The first four moments about the working mean 30.,Knowledge
A simply supported beam of 8 m length is loaded as shown in figure 4.,Application
Discuss on unfavorable geological conditions for reservoir area of dam.,Analysis
Write assumption made in Pure bending theory.,Knowledge
How pressure regulation is done pneumatic circuits?,Knowledge
Find the rotation B ( θB) for the beam with uniform flexural rigidity as shown in figure 2.,Application
Describe the properties and application of the following materials.,Comprehension
Write a pseudo code to Represent Doubly Link list as an ADT.,Knowledge
Write a short note on :,Knowledge
Write note on stiffness method and write elements of displacement matrix for following figure.,Knowledge
Describe properties and applications of Constantan and Brass.,Knowledge
With a neat block diagram explain AC current measurement using 8051 microcontroller.,Comprehension
A four pole lap wound DC motor has 540 conductors.,Application
State the applications of aerial photogrammetry in surveying?,Knowledge
A cantilever of length 3 m is carrying a point load of 25 KN at the free end.,Application
Explain in detail what precaution is necessary to be taken while operating DC Series motor.,Comprehension
Draw the ASM chart for a 2 bit Binary counter having one enable line E such that.,Application
A single block brake has a brake drum diameter of 1 m and angle of contact is 30º.,Application
Evaluate F.,Evaluation
Explain the advantages of HMI.,Knowledge
Draw basic internal structures of Decade counter IC 7490 and explain its operation.,Knowledge
Write short note on : Producer-consumer Problem.,Knowledge
Draw and explain how CMOS inverter works as amplifier with active load configuration.,Comprehension
Compare brushless DC motor with conventional DC motor.,Analysis
Write program to transfer letter ‘T’serially 10 times at baud rate of 4800. Use serial port in mode 1. XTAL=12MHz.,Application
Prove that ratio  .,Knowledge
Enlist any four types of floor finishes and explain mosaic flooring.,Knowledge
Compare the Gas Turbines with I.,Analysis
Enlist characteristics of  a good hash function.,Knowledge
Obtain the fourier Transform using the property.,Application
Explain the durability of concrete? What effect the water- cement ratio makes on durability?,Knowledge
Explain types of thread in detail.,Knowledge
Give the applications of Two Port Network Parameters.,Knowledge
Explain Gauss elimination method for solving simultaneous equations.,Comprehension
What are details of composition in Stainless steel and tool steel?,Knowledge
Describe the characteristics of a general tree.,Knowledge
A boiler evaporates 3.,Application
Distinguish between Brushless D.,Analysis
Explain two position and floating control mode in brief with neat sketch.,Knowledge
Explain the procedure of establishing horizontal control for setting of a tunnel.,Comprehension
Explain construction and working of LVDT with neat diagram.,Comprehension
Explain the classification of memories based on their principle of operation.,Comprehension
Derive the expression for armature torque developed in a DC motor.,Analysis
What is Inheritance?,Knowledge
What is a stream?,Knowledge
A generating station has a connected load of 43MW and maximum demand of 20MW.,Application
Define with units,Knowledge
With suitable diagram explain nucleonic method of level measurement.,Comprehension
Explain different methods of locating instantaneous centre in various mechanisms.,Analysis
Explain Shell and Tube heat exchanger in detail with neat sketch.,Analysis
Explain Pre-emphasis and De-emphasis in detail.,Knowledge
Explain in detail the role of Project Management Consultants in Civil Engineering field.,Knowledge
Explain the field application of compaction test result and how to control Field compaction.,Comprehension
Explain working of Ports in 8051 microcontroller.,Comprehension
Explain the working of Electronic Ignition system with neat sketch.,Comprehension
Solve any one.,Knowledge
Explain in detail the functions of ADCON0 SFR of PIC18 microcontroller.,Application
Distinguish between hot melt adhesives and water based adhesives.,Analysis
What are the functions of HMI.,Knowledge
What is mean by inheritance?,Knowledge
Explain Phase angle measurement by Lissajous pattern.,Comprehension
What are filters hydraulic Systems?,Knowledge
"Explain with suitable example, DFS and BFS traversal of a graph.",Knowledge
State any six properties of Laplace transform.,Knowledge
Differentiate Soft Magnetic Materials and Hard Magnetic Materials.,Knowledge
How do you express the life of a bearing?,Knowledge
Design and implement 3 bit synchronous up counter using JK flip flop.,Application
Ten coins thrown simultaneously.,Analysis
Explain the following laws with suitable diagram.,Comprehension
What is Haptics Rendering Pipeline Modeling in Virtual Reality?,Knowledge
"Explain the construction, and working of LVDT.",Knowledge
Explain class template and function template with example.,Knowledge
What is functional independence?,Knowledge
What is File mode?,Knowledge
Explain the formation of phosphodiester bonds with a suitable example.,Analysis
Define the concept of automated production lines with suitable example.,Knowledge
Give the functions of zinc.,Knowledge
State the working and uses of Electronic Total Station.,Comprehension
Enlist special concreting techniques? Explain under water concreting.,Knowledge
What are fractals?,Knowledge
What is Radiation?,Knowledge
Explain the concept of GPIO in AT mega328P.,Analysis
Obtain the expression for state transition matrix using Laplace transform method and state any four properties of state transition matrix.,Knowledge
Design the sequential circuit for the given state diagram using D flip flop.,Application
Explain homogenous and heterogeneous nucleation with neat sketches.,Knowledge
Define Shading.,Knowledge
What is meant by multicore architecture?,Knowledge
Explain working of flash ADC in details.,Comprehension
A cantilever of length 2.,Application
Differentiate between Convective and local Accelerations.,Analysis
Explain the concept of ISO 14000.,Knowledge
Design a strip layout for manufacturing a steel component as shown in figure.,Application
Explain Darlington connection and explain how it improves the current gain.,Comprehension
What is DMA ?,Knowledge
"Distinguish between PAM, PWM and PPM.",Knowledge
Explain Berkeley and Hartley method for measurement of osmotic pressure.,Knowledge
Develop circuit model for 3 phase Synchronous Machine.,Application
What is steel?,Knowledge
What is generic programming?,Knowledge
What are coordination catalyst explain with the help of wackers process.,Analysis
Explain the how open traversing surveying work is conducted.,Knowledge
Explain look ahead carry generator circuit.,Comprehension
Compare cycloidal and involute gear tooth profile.,Analysis
Discuss the various exceptional conditions that should be handled while using stack operations.,Knowledge
Explain theory of stadia tacheometry.,Comprehension
What are the various types of mixers used for paste and plastic materials?,Knowledge
Show that the following graphs are isomorphic.,Knowledge
Consider following Database.,Application
Explain the cell cycle and describe in detail the steps involved in a typical cell cycle.,Analysis
Analyze the continuous beam ABC shown in figure 5 by moment distribution method.,Analysis
Draw and explain working of IGBT.,Analysis
"14 b) 2 c) 12 d) 8 ii) If f (x) = x2, h = 1, f (x) is given by",Application
Compare pneumatic and mechanical fabric stretching methods.,Analysis
Describe the objective and classification of triangulation survey?,Knowledge
Differentiate between Carburizing and Nitriding.,Analysis
Explain how nodes can be remove in tail reference using example.,Evaluation
Write a program which demonstrate constructor with default arguments.,Application
Write a short note on control system and electronics.,Knowledge
"Compare the crippling loads given by Euler’s and Rankine’s formulae for a steel strut 2.5 m long having outer & inner diameter as 40 mm and30 mm respectively loaded through pin jointed at the ends. Take yield stress as 320 N/mm 2 the Rankine’s constant 1 7500, E = 2 × 105 MPa.",Analysis
Construct a singly linked list with its ‘C’ function to delete a number.,Application
Write Short Note on Cluster Configuration.,Comprehension
Define concrete mix design.,Knowledge
Explain working of LVDT and quote its any two applications.,Comprehension
In how many different license plates are available if each plate contains a sequence of 2 letters followed by 4 digits?,Application
Draw a neat sketch and explain the working principle of orifice meter derives equation.,Knowledge
Explain Nano materials used in Batteries and Photovoltaic Cells.,Knowledge
Explain the concept of boundary layer?,Analysis
Develop a python program to add city and remove city considering them to act as insert and delete operations of the data structure queue.,Application
Explain how control transfer instructions are executed using the call gate in the system?,Analysis
Prove,Analysis
"Apply Euler’s method to find y(0.1). Given dyxydx= , y(1) =5. Show 5 iterations.",Application
Explain significance of back e.,Comprehension
Draw neat diagram of three phase full wave bridge rectifier with R load and explain its working.,Comprehension
Write down chemical characteristics of packaging.,Knowledge
Draw a flow chart for manufacture of polyvinyl resin.,Knowledge
Find the quartile deviation and coefficient of quartile deviation of the following frequency distribution.,Application
Two straights road intersects at a chainage of 2550.,Application
Give basic definition of Y parameters explain why Y parameters are called short circuit admittance parameters.,Knowledge
With the help of a block diagram explain the fundamental units of a microprocessor.,Analysis
Write a short note on Java tokens.,Knowledge
Explain Friend function with example.,Knowledge
Describe generation of pulse width modulation with diagram and waveform.,Knowledge
How will you represent facts in propositional logic with an example?,Application
State the importance of finally blocks.,Analysis
Define filter.,Comprehension
Construct a binary search  tree for the for following data.,Application
Write a short note on Basic operation of Power Amplifier LM 380.,Knowledge
Explain the procedure of Fixing door and window in detail?,Application
For simply supported beam shown in figure 2.,Application
Describe in brief unit operations and unit processes involved in refinery processes of crude oil.,Application
Draw the power stage diagram of DC motor. Clearly indicate various losses along with respective formulae for the losses.,Knowledge
Explain Gibb's phenomenon of Fourier series.,Knowledge
Explain in  brief process of manufacture of urea from ammonium carbamate with process flow diagram.,Knowledge
What are types of condensation?,Knowledge
Explain the circuit diagram of level shifter.,Knowledge
Design the clocked sequential circuit for the state diagram using JK flip flop.,Application
What do you mean by Boiler Draught and how are they classified.,Knowledge
Describe the working of strip chart recorder with reference to block diagram.,Comprehension
Give the classification of undergound cables?,Knowledge
Derive an expression for displacement momentum and energy thickness.,Analysis
A ring foundation is of 3.,Application
What is the effects of faulting and their significance in civil engineering.,Knowledge
What is evaporation?,Knowledge
A thermos flask with evacuated space to reduce the heat losses having surfaces facing each other of emissivity 0.,Application
Explain concept of Virtual Memory.,Knowledge
Explain the functions of LCD pins and draw the interfacing diagram of LCD with Arduino board.,Comprehension
Explain functional units of computer.,Knowledge
Give classification of Input-output Devices. Explain any four properties of classification used for I/O devices.,Knowledge
With suitable example write short note on the fractal lines.,Analysis
Explain the importance of hydrograph for the installation of hydroelectric power plant.,Comprehension
What are the types of errors that may cause a tansaction to fail?,Knowledge
Construct a function PUSH and POP in ‘C’ for stack using array.,Application
Explain in brief reactions involved in manufacturing of detergent by sodium reduction of coconut oil.,Analysis
Differentiate between bluff body and streamlined body with neat sketch.,Analysis
Write in detail mineral wealth of GONDWANA.,Comprehension
Write a short note on survey for drainage line work.,Comprehension
How process and threads are implemented in Linux?,Knowledge
If the maximum permissible tension in the line of span 200 meter is 1450 kg.,Application
Write in detail a about structural lipids in Membranes.,Knowledge
What are proximate and ultimate analysis of fuel?,Knowledge
What is the use of constructor.,Knowledge
Find out the exponential fourier series for impulse train shown in fig.,Application
Explain fluidization with its type and application?,Analysis
"Find the work done in moving a particle once around the ellipse 22 1, 025 16xyz  under the field of force given by 2(2 ) ( ) (3 2 4 ) .Fx y z i x y z jx y z k     ",Application
Analyze the frame shown in figure 3 by slope deflection method and draw BMD.,Analysis
Define a tree.,Comprehension
Write short note on motion specification.,Application
Explain need of operator overloading.,Analysis
Write pseudo code to implement a circular queue using arrays.,Knowledge
Explain uses of SBR.,Knowledge
Find the Fourier cosine integral representation for the function.,Application
What is aliasing? How can it be avoided.,Knowledge
Find the driving point impedance Z11 (s) for the network shown in Fig. 10,Application
Explain with a neat diagram CMOS NOR gate.,Knowledge
"A wall with a smooth vertical back, 10 m high, supports a purely cohesive soil with c = 9.81 kN/m2 and  = 17.66 kN/m3. Determine total active earth pressure against the wall and position of zero pressure beforeformation of tension crack.",Application
State the different patterns of counter showing natural features.,Comprehension
Draw a neat sketch of 4 point starter of DC motor mark all parts in it Describe the working of it.,Comprehension
In an engine mechanism as shown in figure.,Evaluation
Evaluate  CF.,Evaluation
Define geodetic survey and state its objectives of study.,Comprehension
A concentrated load of 25 kN acts on the surface of homogenous soil mass of large extent. Find the stress intensity at a depth of 8 m by usingBoussinesq’s theory at a horizontal distance of 2.5 m.,Application
How the air conditioning systems are classified and explain the summer air conditioning system with neat sketch.,Knowledge
Explain sine wave generator with neat circuit diagram and waveforms.,Comprehension
Explain the working principle of practical integrator circuit with neat circuit diagram and derivation of output equation.,Comprehension
Write Note on Copper and its Alloy.,Knowledge
How is the pH of titration mixture claculated at various stages druing strong acidweak base titration.,Application
Derive Lagrange’s Interpolation formula for unequally spaced data points.,Analysis
Enlist the benefits and costs of Inheritances.,Knowledge
What is zwitterion?,Knowledge
Explain manipulators for file handling in C++?,Knowledge
Explain sounding methods and sounding equipment of hydrographic survey.,Comprehension
How wind and ice loading affect the presence of sag.,Comprehension
Determine the probability of getting sum 9 exactly twice in 3 throws with a pair of fair dice.,Application
Write a short note on Claisen rearrangement.,Comprehension
What is stream?,Knowledge
What are the standard design considerations for the agitated vessel system?,Knowledge
Write the difference between Impulse turbine and Reaction turbine.,Analysis
"Using Gauss - Divergence theorem, evaluate :",Application
What are the salient features of engineering student's hostel building?,Knowledge
Explain error handling during file operations.,Knowledge
Banker’s algorithm is used for deadlock avoidance. Explain.,Knowledge
What are types of phase diagram?,Knowledge
Describe with block diagram ditital signal hierarchy using T1 carrier system.,Comprehension
Illustrate the features of a ROM cell?,Knowledge
Write Note on Composite Material and Nano Materials.,Knowledge
Explain the homogenous transformation matrix approach in planning of Cartesian path trajectories.,Knowledge
What are the objectives of Resource leveling?,Knowledge
An emf 200 V is in series with a.,Application
Explain vane shear test procedure with a neat sketch and formula.,Knowledge
Explain the different conditions for spontaneity by using Gibbs free energy.,Analysis
Explain cavitation in brief and suggest the suitable method used to reduce it.,Application
Write a note on Rain Water Harvesting and its importance.,Comprehension
Compare diode rectifier with precision rectifier.,Analysis
Draw a block diagram of the PLA device and explain.,Analysis
What are the types of DC motor?,Knowledge
How will you test transformer oil?,Application
Write an algorithm for Fibonacci search.,Comprehension
Explain Steps to receive Data Serially in 8051 microcontroller.,Knowledge
Explain carnot cycle with PV and TS Diagram.,Comprehension
"Find the bilinear transformation which maps the points 0,1,2 from z plane on to the points 1, 1 2, 1 3 of the W - plane.",Application
List and explain various Privilege Instructions.,Knowledge
Create hash task and resolve collision using linear probing with replacement.,Application
Explain with neat diagram working CMOS invertor.,Knowledge
What is spread spectrum?,Knowledge
Explain working of Horizontal axis type wind turbine with diagram.,Comprehension
Explain sill and Dyke as igneous intrusions.,Knowledge
Find the Inverse Laplace Transform of ()()()2 41Xsss=+- if the ROC is –4 < Re(s) < 1.,Application
Explain ISO 9000 and its importance.,Knowledge
Explain ciruit diagram of schmitt trigger with waveform.,Knowledge
Explain the function of a shift register.,Comprehension
State various application of Entropy.,Knowledge
Implement the following function using multiplexer,Application
Describe advantages and limitations of following insulators.,Analysis
Explain in brief the frame size selection criteria for screen printing process.,Application
What is trie tree?,Knowledge
Compare Thermoplastics and Thermosetting Plastics.,Analysis
Write an algorithm for depth first search technique.,Application
Explain any three methods of taper turning with neat sketches.,Knowledge
A rectangular beam 150 mm wide and 300 mm deep is subjected to maximum shear force of 80 KN Determine Average shear stress andMaximum shear stress.,Application
What is Remote sensing?,Knowledge
Explain the procedure of establishing alignment of road?,Application
Write a note on necessity and types of transition curves?,Comprehension
State the Limitations of frequency domain approach.,Knowledge
Static and dynamic tree tables with suitable example.,Knowledge
What is groundwater?,Knowledge
Explain the terms.,Comprehension
What are different factors affecting sag of transmission line?,Knowledge
Explain Free space management and Directory Structure in File management.,Knowledge
Calculate ABCD constants for three phase 50 Hz transmission line with following line parameters.,Application
Explain in detail procedure of measurement of horizontal angle by repetition method using 20 vernier theodolite.,Comprehension
Show that average velocity is one half of the maximum velocity for flow of viscous fluid through circular pipe.,Analysis
Explain about predefined streams in Java.,Comprehension
Explain the types of HMI.,Knowledge
Find the number of codes generated by the given check matric H.,Application
Determine the Fourier transform of the following continuous time signals.,Application
Write down the equations for Following circuits.,Knowledge
Draw the connection diagram of 3 point starter used for DC shunt motor & explain the function of,Knowledge
State and Explain Gibbs phase rule.,Knowledge
Explain the stages of combustion in a C.,Comprehension
What is operator overloading? Write a program to overload Unary operator.,Knowledge
How does the falling and rolling ball viscometer used to measure the viscosity?,Application
State 3 advantages and 3 disadvantages of LVDT.,Comprehension
Fig.,Application
The total load of the power system is not constant but varies thoughout the day and reaches a different peak value from one day to another.,Knowledge
Describe the effect of compaction on properties of soil.,Knowledge
Draw and explain the general descriptor format available in various descriptor tables.,Analysis
Explain briefly the procedure of conducting Unconfined Compression Test on clayey soil sample. Draw Mohr’s circle for the test.,Knowledge
A frequency modulated signal is given by,Application
Draw block diagram of regulated power supply and explain the function of each block?,Analysis
Explain extrusion process for thermoplastic plastics.,Knowledge
List properties of light.,Application
What are cin and cout?,Knowledge
Differentiate between venturimeter and Orificemeter.,Analysis
"In the network shown in Fig. 3, switch is closed at t = 0. Find the value of 2 2(0 ) (0 )(0 ), ,di d iidt dt  Assume the initial current of inductor to be zero.",Application
Enlist different linear and angular methods of setting out of curves.,Comprehension
Write down application of carbon nano tubes and BN nano tubes.,Knowledge
What is semiconductor memory? Enlist advantages of it.,Knowledge
Derive power in a wind and Environmental Impacts of Wind Turbines.,Analysis
Explain in brief sulfation of fatty alcohols and sulfonates.,Analysis
What is an adsorption isotherm?,Knowledge
Draw a neat labeled diagram showing Oxidation of Fatty Acids in three stages.,Knowledge
Draw neat diagram and explin single phase half wave rectifier with pure resistive laod.,Knowledge
Write the short note on MOSFET scaling.,Comprehension
State main commodity polymers with uses.,Application
Illustrate the enqueue and dequeue operations of queue.,Comprehension
Draw the block diagram and explain components of electric vehicle.,Comprehension
With the help of block diagram explain V oltage & current measurement using 8051.,Knowledge
Discuss PWM generation and detection in detail.,Knowledge
Two tangents intersects at a chain age of 150.5 m the intersection angle 150° calculate the following quantities for setting out all curves of radius 100m .,Application
With suitable circuit diagram explain no load and blocked rotor test on 3 phase induction motor.,Comprehension
Explain the phenomenon of Boundary Layer Separation and Methods to control to it.,Analysis
How higher range pressure measurements are done?,Knowledge
Write down specific ISO standards used in packaging industry.,Knowledge
Describe the fuel cells.,Knowledge
Compute closure of the following set F of FD for relational schema.,Application
What is meant by Metamorphism?,Knowledge
What are types of Electric Vehicles?,Knowledge
Explain the concept of GMD and GMR for inductance calculation.,Knowledge
State and explain any three open source embedded platforms.,Knowledge
Explain Risk Projection and Risk Refinement in detail.,Knowledge
Implement CMOS NAND Gate using pMOS and nMOS gates.,Knowledge
Calculate work done when 2 moles of an ideal gas expand reversibly and isothermally from a volume of 0.,Application
Derive the conditions for most economical trapezoidal channel section.,Analysis
With a neat block diagram explain overall system of PLC.,Analysis
What is file?,Knowledge
Assume that the probability of an individual coal miner being killed in a mine accident during a year is 1 2400.,Application
"Mr. Vilas brough an air-conditioner for Rs. 20,000; he paid tax of Rs. 2,000 and Rs. 200 for trnsport. If he sold it to a customer forRs. 22,500, what is the percentage profit or loss?",Application
Describe no load and blocked rotor test conducted on 3 phase induction motor with suitable circuit diagram write down the calculations involved.,Comprehension
A cup of 60 mm diameter 60 mm and height is to be drawn from 1 mm thick cold rolled steel with tensile strength 410 MPa.,Application
Give basic definition of Y parameters explain why Y parameters are called short circuit admittance parameters.,Knowledge
Explore the need for a protection mechanism in 80386.,Analysis
"The random variable X has a Poisson distribution.If P(X = 1) = 0.01487, P(X = 2) = 0.04461. Then find P(X = 3).",Application
Check whether given schedule is view serializable.,Application
An infinitely long plane uniform plate is bounded by two parallel edges in the y direction and an end at right angles to them.,Analysis
Write a short note on V to I converter with grounded type load.,Comprehension
List out the points to be considered for Best Practices of CAD conversion.,Knowledge
What is a law of gearing?,Knowledge
Draw a neat sketch and explain the working principle of orifice meter derives equation.,Analysis
A solution was prepared by dissolving certain amount of compound in 31.,Application
Explain the registers in microprocessor.,Knowledge
find the moles of oxygen theoretically required to burn100 kg of coke completely?,Application
Describe the classification of dyes on the basis of chemical structure.,Comprehension
State and explain all possible network functions of one port network.,Knowledge
With suitable diagram explain construction and working of McLeod gauge.,Comprehension
Write a short note on C Data types for 8051 microcontroller.,Knowledge
Differentiate between a microprocessor and a microcontroller.,Analysis
What are the general benefits of holding ISO accreditation.,Knowledge
Describe the classification of  fault and their engineering significance.,Knowledge
Explain any two renewable generation methods with their advantages and drawbacks.,Knowledge
Derive the relegation ship between Springs in Series and Parallel.,Analysis
What do you mean by adjacency matrix and adjacency list? Give the adjacency matrix and adjacency list for the graph shown below:,Knowledge
What are the rules for overloading operators?,Knowledge
Explain the Geological conditions favorable for natural springs and artesian wells.,Comprehension
Explain briefly with neat sketch cylindrical and adjustable locators.,Comprehension
Classify insulating materials and hence write properties and application of any two materials from Class F type.,Knowledge
"–2 b) 1 c) 2 d) –1 iii) The value of 21 2Czdzz where C is | z | = 1,",Application
What is significance of Pressure measurement?,Knowledge
Explain casement window in detail.,Comprehension
Write pseudo code to implement circular queue using array.,Application
Explain with neat sketch different type of ICR.,Knowledge
Write a program to create files using constructor function.,Knowledge
Enlist any three objectives of testing?,Knowledge
Explain extrusion of plastic.,Analysis
What do you meant by retrofitting of concrete?,Knowledge
Differentiate between Engineering Stress Strain curve and True stress strain curve.,Analysis
Apply Bessel’s central difference formula to obtain f(32) given that,Application
Explain the following A VL tree rotations with example.,Comprehension
Explain array implementation of priority queue with all basic operation.,Analysis
Explain in brief the exposure time calculation method for screen stencil making process.,Knowledge
Draw the connection diagram of star-delta starter used for 3-ph induction motor & explain its working,Knowledge
What is logic family?,Knowledge
Analyze the stability of soil using friction circle method with neat sketch.,Analysis
Derive the torque equation of dynamometer type wattmeter. Explain the errors and its compensation in dynamometer type wattmeter.,Knowledge
Write sudo codes to perform following operations on index sequential file.,Application
Explain why safety program have to be implemented at work site.,Comprehension
Elaborate functional business systen in detail with cross functional enterprise systems.,Knowledge
State any six properties of Laplace Transform.,Knowledge
Explain and compare point source and diffuse illumination.,Knowledge
The furnace wall consists of 120 mm wide refractory brick and 120 mm wide insulating fire brick separated by an air gap.,Application
Write a short note on proximity effect.,Comprehension
Suppose there are two relation r and s such that the foreign key B of r references the primary key A of s.,Application
Explain the compressive strength of concrete. How it is determined in laboratory.,Knowledge
Explain the following.,Comprehension
Derive an expression of velocity and shear stress distribution for laminar flow between fixed parallel plates.,Analysis
Causes of Gear Tooth Failure explain in detail.,Analysis
If the probability that an individual suffers a bad reaction from a certain injection is 0.,Application
Derive general equation for continuity for a 3D flow in Cartesian coordinates for a steady incompressible flow.,Analysis
Define the following terms:,Knowledge
Explain any three sheet metal working operations with their working.,Knowledge
"Explain foil strain gauge with a neat diagram. Also, state its advantages.",Knowledge
Explain Development  in part Modeling in CAD Customization.,Knowledge
"Find angle between the normal to the surface xy = z2 at (1,4,2) and (–3,–3,3).",Application
Explain with a neat diagram CMOS inverter.,Knowledge
State characteristics and uses of contour lines.,Knowledge
State the Bernoulli is theorem.,Knowledge
Draw and explain frequency response of high pass filter.,Knowledge
What is monochromatic emissive power?,Knowledge
What is parallel projection?,Knowledge
Give properties and application of PVC and polyethylene.,Comprehension
Differentiate between Reciprocating and Rotary Compressors.,Analysis
Explain extrusion operation with its schematic diagram.,Knowledge
Describe a circular linked list.,Knowledge
Draw diagram of single phase induction type energy meter and label all the parts.,Knowledge
Explain in detail about language features for programming in the large for Ada programming.,Comprehension
Design an adjustable voltage regulator using LM317 for output voltage 1.,Application
"Determine the shear strength in terms of effective stress on a plane within a saturated soil mass at a point where the total normal stress is 200 kN/m2 and pore water pressure is 80 kN/m2. The shear strength parameters in terms of effective stress are, c’ = 16 kN/m2 and ’ = 390.",Application
What do you mean by molecular machine?,Knowledge
Explain a ‘C’ function to insert node in BST (Binary Search Tree).,Application
Analyze the beam shown in figure 1 by slope deflection method and draw B.,Application
What is inheritance?,Knowledge
For the differential eq.,Analysis
With the necessary diagrams explain entering and leaving V86 mode?,Knowledge
Write the comparison between Annealing and Normalizing.,Analysis
The velocity and discharge for a 1 50 scale model of a spillway are 0.,Analysis
Derive the torque equation of for DC motor.,Analysis
Obtain the Inverse Fourier Transform of,Application
Write a short note on Grey Cast Iron and Nodular Cast Iron.,Knowledge
Discuss types of priority queue and how it is different from simple queue.,Knowledge
What is a user defined exception? Write down the scenario where we require use define exceptions.,Knowledge
Derive the equation for elevation in boiling point and show it is colligative properties.,Application
Explain in brief the steps required in preparation for screen stretching process.,Knowledge
Is it possible to construct a graph with 12 nodes such that 2 of the nodes have degree 3 and the remaining have degree 4.,Analysis
A beam is loaded and supported as shown in Fig.,Application
Derive the emf equation of a DC machine and hence write the voltage equation of a DC shunt motor.,Analysis
Explain with a neat sketch following parts of belt conveyors.,Analysis
How process scheduling is performed in Linux?,Knowledge
Explain PLL operation in detail with neat block diagram.,Knowledge
What is scaling?,Knowledge
Apply Gauss divergence theorem to evaluate ˆ.,Application
Differentiate between CRO and DSO.,Knowledge
The mean and variance of Binomial distribution are 4 and 2 respectively.,Knowledge
Differentiate between Microprocessor and Microcontroller.,Knowledge
Explain electrical method for level measurement with a suitable diagram.,Comprehension
Write a pseudo code for basic operations of stock.,Application
State Nyquist theorem and explain Nyquist stability criteria.,Knowledge
Explain steps for design of dog legged staircase.,Application
Calculate the O/P voltage for a DAC whose output range is 0 to 10 V and input binary number 1001.,Application
Explain the Surge in Springs.,Knowledge
Write a python program to add and remove items from a given set.,Application
Define the functions of Type Checking and Limit Checking in protection.,Knowledge
A cylindrical pressure vessel 1.,Application
Evaluate 2. sxiy j z k d s   Where S is the surface of cylinder 224 xy bounded by planes z = 0 and z = 2.,Application
What are the main features of ARM7 architecture?,Knowledge
Determine shape factor for Circular section having diameter d in m.,Analysis
Explain the various factors that influence the delay period in C.,Comprehension
Write a short note on topological sorting.,Application
Explain fast transpose of sparse matrix with suitable example.,Comprehension
What are the different types of cast iron?,Knowledge
Explain the concept of Transaction.,Knowledge
"Write copy constructor for Employee class, in which objects of string class and Date class are the Data members.",Application
Write a short note on Reluctance motor.,Comprehension
State the limitations of Fourier Transform and need of laplace transform.,Knowledge
Calculate the coefficient of correlation from the following data.,Application
What is Log Based Recovery?,Knowledge
What is topological sorting?,Knowledge
Explain the effect of loading on induction motor.,Comprehension
Define transducer and state detailed classification of transducers.,Knowledge
Derive an expression for armature torque developed in a DC motor.,Analysis
Determine the z parameters for the circuit shown in Fig.,Application
Explain construction of brushless DC motor.,Knowledge
A both ends hinged cast iron hollow cylindrical column 3 m in length has a critical buckling load of P kN.,Application
Explain the different mechanical properties of Ceramics.,Analysis
What is garbage collection in Java?,Knowledge
With suitable diagram explain constructional details of 3pahse slipring induction motor.,Comprehension
A switch and an LED is connected to 8051 as shown in diagram.,Application
Explain the various methods to protect slopes from failure with clear sketch.,Knowledge
Explain function over loading & function overriding in detail.,Knowledge
The beam is supported and loaded as shown in figure. Determine the position and value of Maximum deflection EI = 1.4 × 1011 kN-mm2. Use Macauly’s method.,Application
List various commutation techniques.,Analysis
Explain MIG welding processes with a neat sketch.,Knowledge
