Text,Label
Compare pneumatic and mechanical fabric stretching methods.,Analysing
Describe the objective and classification of triangulation survey?,Remembering
Differentiate between Carburizing and Nitriding.,Analysing
Explain how nodes can be remove in tail reference using example.,Evaluating
Write a program which demonstrate constructor with default arguments.,Applying
Write a short note on control system and electronics.,Remembering
"Compare the crippling loads given by Euler’s and Rankine’s formulae for a steel strut 2.5 m long having outer & inner diameter as 40 mm and30 mm respectively loaded through pin jointed at the ends. Take yield stress as 320 N/mm 2 the Rankine’s constant 1 7500, E = 2 × 105 MPa.",Analysing
Construct a singly linked list with its ‘C’ function to delete a number.,Applying
Write Short Note on Cluster Configuration.,Understanding
Define concrete mix design.,Remembering
Explain working of LVDT and quote its any two applications.,Understanding
In how many different license plates are available if each plate contains a sequence of 2 letters followed by 4 digits?,Applying
Draw a neat sketch and explain the working principle of orifice meter derives equation.,Remembering
Explain Nano materials used in Batteries and Photovoltaic Cells.,Remembering
Explain the concept of boundary layer?,Analysing
Develop a python program to add city and remove city considering them to act as insert and delete operations of the data structure queue.,Applying
Explain how control transfer instructions are executed using the call gate in the system?,Analysing
Prove,Analysing
"Apply Euler’s method to find y(0.1). Given dyxydx= , y(1) =5. Show 5 iterations.",Applying
Explain significance of back e.,Understanding
Draw neat diagram of three phase full wave bridge rectifier with R load and explain its working.,Understanding
Write down chemical characteristics of packaging.,Remembering
Draw a flow chart for manufacture of polyvinyl resin.,Remembering
Find the quartile deviation and coefficient of quartile deviation of the following frequency distribution.,Applying
Two straights road intersects at a chainage of 2550.,Applying
Give basic definition of Y parameters explain why Y parameters are called short circuit admittance parameters.,Remembering
With the help of a block diagram explain the fundamental units of a microprocessor.,Analysing
Write a short note on Java tokens.,Remembering
Explain Friend function with example.,Remembering
Describe generation of pulse width modulation with diagram and waveform.,Remembering
How will you represent facts in propositional logic with an example?,Applying
State the importance of finally blocks.,Analysing
Define filter.,Understanding
Construct a binary search  tree for the for following data.,Applying
Write a short note on Basic operation of Power Amplifier LM 380.,Remembering
Explain the procedure of Fixing door and window in detail?,Applying
For simply supported beam shown in figure 2.,Applying
Describe in brief unit operations and unit processes involved in refinery processes of crude oil.,Applying
Draw the power stage diagram of DC motor. Clearly indicate various losses along with respective formulae for the losses.,Remembering
Explain Gibb's phenomenon of Fourier series.,Remembering
Explain in  brief process of manufacture of urea from ammonium carbamate with process flow diagram.,Remembering
What are types of condensation?,Remembering
Explain the circuit diagram of level shifter.,Remembering
Design the clocked sequential circuit for the state diagram using JK flip flop.,Applying
What do you mean by Boiler Draught and how are they classified.,Remembering
Describe the working of strip chart recorder with reference to block diagram.,Understanding
Give the classification of undergound cables?,Remembering
Derive an expression for displacement momentum and energy thickness.,Analysing
A ring foundation is of 3.,Applying
What is the effects of faulting and their significance in civil engineering.,Remembering
What is evaporation?,Remembering
A thermos flask with evacuated space to reduce the heat losses having surfaces facing each other of emissivity 0.,Applying
Explain concept of Virtual Memory.,Remembering
Explain the functions of LCD pins and draw the interfacing diagram of LCD with Arduino board.,Understanding
Explain functional units of computer.,Remembering
Give classification of Input-output Devices. Explain any four properties of classification used for I/O devices.,Remembering
With suitable example write short note on the fractal lines.,Analysing
Explain the importance of hydrograph for the installation of hydroelectric power plant.,Understanding
What are the types of errors that may cause a tansaction to fail?,Remembering
Construct a function PUSH and POP in ‘C’ for stack using array.,Applying
Explain in brief reactions involved in manufacturing of detergent by sodium reduction of coconut oil.,Analysing
Differentiate between bluff body and streamlined body with neat sketch.,Analysing
Write in detail mineral wealth of GONDWANA.,Understanding
Write a short note on survey for drainage line work.,Understanding
How process and threads are implemented in Linux?,Remembering
If the maximum permissible tension in the line of span 200 meter is 1450 kg.,Applying
Write in detail a about structural lipids in Membranes.,Remembering
What are proximate and ultimate analysis of fuel?,Remembering
What is the use of constructor.,Remembering
Find out the exponential fourier series for impulse train shown in fig.,Applying
Explain fluidization with its type and application?,Analysing
"Find the work done in moving a particle once around the ellipse 22 1, 025 16xyz  under the field of force given by 2(2 ) ( ) (3 2 4 ) .Fx y z i x y z jx y z k     ",Applying
Analyze the frame shown in figure 3 by slope deflection method and draw BMD.,Analysing
Define a tree.,Understanding
Write short note on motion specification.,Applying
Explain need of operator overloading.,Analysing
Write pseudo code to implement a circular queue using arrays.,Remembering
Explain uses of SBR.,Remembering
Find the Fourier cosine integral representation for the function.,Applying
What is aliasing? How can it be avoided.,Remembering
Find the driving point impedance Z11 (s) for the network shown in Fig. 10,Applying
Explain with a neat diagram CMOS NOR gate.,Remembering
"A wall with a smooth vertical back, 10 m high, supports a purely cohesive soil with c = 9.81 kN/m2 and  = 17.66 kN/m3. Determine total active earth pressure against the wall and position of zero pressure beforeformation of tension crack.",Applying
State the different patterns of counter showing natural features.,Understanding
Draw a neat sketch of 4 point starter of DC motor mark all parts in it Describe the working of it.,Understanding
In an engine mechanism as shown in figure.,Evaluating
Evaluate  CF.,Evaluating
Define geodetic survey and state its objectives of study.,Understanding
A concentrated load of 25 kN acts on the surface of homogenous soil mass of large extent. Find the stress intensity at a depth of 8 m by usingBoussinesq’s theory at a horizontal distance of 2.5 m.,Applying
How the air conditioning systems are classified and explain the summer air conditioning system with neat sketch.,Remembering
Explain sine wave generator with neat circuit diagram and waveforms.,Understanding
Explain the working principle of practical integrator circuit with neat circuit diagram and derivation of output equation.,Understanding
Write Note on Copper and its Alloy.,Remembering
How is the pH of titration mixture claculated at various stages druing strong acidweak base titration.,Applying
Derive Lagrange’s Interpolation formula for unequally spaced data points.,Analysing
Enlist the benefits and costs of Inheritances.,Remembering
What is zwitterion?,Remembering
Explain manipulators for file handling in C++?,Remembering
Explain sounding methods and sounding equipment of hydrographic survey.,Understanding
How wind and ice loading affect the presence of sag.,Understanding
Determine the probability of getting sum 9 exactly twice in 3 throws with a pair of fair dice.,Applying
Write a short note on Claisen rearrangement.,Understanding
What is stream?,Remembering
What are the standard design considerations for the agitated vessel system?,Remembering
Write the difference between Impulse turbine and Reaction turbine.,Analysing
"Using Gauss - Divergence theorem, evaluate :",Applying
What are the salient features of engineering student's hostel building?,Remembering
Explain error handling during file operations.,Remembering
Banker’s algorithm is used for deadlock avoidance. Explain.,Remembering
What are types of phase diagram?,Remembering
Describe with block diagram ditital signal hierarchy using T1 carrier system.,Understanding
Illustrate the features of a ROM cell?,Remembering
Write Note on Composite Material and Nano Materials.,Remembering
Explain the homogenous transformation matrix approach in planning of Cartesian path trajectories.,Remembering
What are the objectives of Resource leveling?,Remembering
An emf 200 V is in series with a.,Applying
Explain vane shear test procedure with a neat sketch and formula.,Remembering
Explain the different conditions for spontaneity by using Gibbs free energy.,Analysing
Explain cavitation in brief and suggest the suitable method used to reduce it.,Applying
Write a note on Rain Water Harvesting and its importance.,Understanding
Compare diode rectifier with precision rectifier.,Analysing
Draw a block diagram of the PLA device and explain.,Analysing
What are the types of DC motor?,Remembering
How will you test transformer oil?,Applying
Write an algorithm for Fibonacci search.,Understanding
Explain Steps to receive Data Serially in 8051 microcontroller.,Remembering
Explain carnot cycle with PV and TS Diagram.,Understanding
"Find the bilinear transformation which maps the points 0,1,2 from z plane on to the points 1, 1 2, 1 3 of the W - plane.",Applying
List and explain various Privilege Instructions.,Remembering
Create hash task and resolve collision using linear probing with replacement.,Applying
Explain with neat diagram working CMOS invertor.,Remembering
What is spread spectrum?,Remembering
Explain working of Horizontal axis type wind turbine with diagram.,Understanding
Explain sill and Dyke as igneous intrusions.,Remembering
Find the Inverse Laplace Transform of ()()()2 41Xsss=+- if the ROC is –4 < Re(s) < 1.,Applying
Explain ISO 9000 and its importance.,Remembering
Explain ciruit diagram of schmitt trigger with waveform.,Remembering
Explain the function of a shift register.,Understanding
State various application of Entropy.,Remembering
Implement the following function using multiplexer,Applying
Describe advantages and limitations of following insulators.,Analysing
Explain in brief the frame size selection criteria for screen printing process.,Applying
What is trie tree?,Remembering
Compare Thermoplastics and Thermosetting Plastics.,Analysing
Write an algorithm for depth first search technique.,Applying
Explain any three methods of taper turning with neat sketches.,Remembering
A rectangular beam 150 mm wide and 300 mm deep is subjected to maximum shear force of 80 KN Determine Average shear stress andMaximum shear stress.,Applying
What is Remote sensing?,Remembering
Explain the procedure of establishing alignment of road?,Applying
Write a note on necessity and types of transition curves?,Understanding
State the Limitations of frequency domain approach.,Remembering
Static and dynamic tree tables with suitable example.,Remembering
What is groundwater?,Remembering
Explain the terms.,Understanding
What are different factors affecting sag of transmission line?,Remembering
Explain Free space management and Directory Structure in File management.,Remembering
Calculate ABCD constants for three phase 50 Hz transmission line with following line parameters.,Applying
Explain in detail procedure of measurement of horizontal angle by repetition method using 20 vernier theodolite.,Understanding
Show that average velocity is one half of the maximum velocity for flow of viscous fluid through circular pipe.,Analysing
Explain about predefined streams in Java.,Understanding
Explain the types of HMI.,Remembering
Find the number of codes generated by the given check matric H.,Applying
Determine the Fourier transform of the following continuous time signals.,Applying
Write down the equations for Following circuits.,Remembering
Draw the connection diagram of 3 point starter used for DC shunt motor & explain the function of,Remembering
State and Explain Gibbs phase rule.,Remembering
Explain the stages of combustion in a C.,Understanding
What is operator overloading? Write a program to overload Unary operator.,Remembering
How does the falling and rolling ball viscometer used to measure the viscosity?,Applying
State 3 advantages and 3 disadvantages of LVDT.,Understanding
Fig.,Applying
The total load of the power system is not constant but varies thoughout the day and reaches a different peak value from one day to another.,Remembering
Describe the effect of compaction on properties of soil.,Remembering
Draw and explain the general descriptor format available in various descriptor tables.,Analysing
Explain briefly the procedure of conducting Unconfined Compression Test on clayey soil sample. Draw Mohr’s circle for the test.,Remembering
A frequency modulated signal is given by,Applying
Draw block diagram of regulated power supply and explain the function of each block?,Analysing
Explain extrusion process for thermoplastic plastics.,Remembering
List properties of light.,Applying
What are cin and cout?,Remembering
Differentiate between venturimeter and Orificemeter.,Analysing
"In the network shown in Fig. 3, switch is closed at t = 0. Find the value of 2 2(0 ) (0 )(0 ), ,di d iidt dt  Assume the initial current of inductor to be zero.",Applying
Enlist different linear and angular methods of setting out of curves.,Understanding
Write down application of carbon nano tubes and BN nano tubes.,Remembering
What is semiconductor memory? Enlist advantages of it.,Remembering
Derive power in a wind and Environmental Impacts of Wind Turbines.,Analysing
Explain in brief sulfation of fatty alcohols and sulfonates.,Analysing
What is an adsorption isotherm?,Remembering
Draw a neat labeled diagram showing Oxidation of Fatty Acids in three stages.,Remembering
Draw neat diagram and explin single phase half wave rectifier with pure resistive laod.,Remembering
Write the short note on MOSFET scaling.,Understanding
State main commodity polymers with uses.,Applying
Illustrate the enqueue and dequeue operations of queue.,Understanding
Draw the block diagram and explain components of electric vehicle.,Understanding
With the help of block diagram explain V oltage & current measurement using 8051.,Remembering
Discuss PWM generation and detection in detail.,Remembering
Two tangents intersects at a chain age of 150.5 m the intersection angle 150° calculate the following quantities for setting out all curves of radius 100m .,Applying
With suitable circuit diagram explain no load and blocked rotor test on 3 phase induction motor.,Understanding
Explain the phenomenon of Boundary Layer Separation and Methods to control to it.,Analysing
How higher range pressure measurements are done?,Remembering
Write down specific ISO standards used in packaging industry.,Remembering
Describe the fuel cells.,Remembering
Compute closure of the following set F of FD for relational schema.,Applying
What is meant by Metamorphism?,Remembering
What are types of Electric Vehicles?,Remembering
Explain the concept of GMD and GMR for inductance calculation.,Remembering
State and explain any three open source embedded platforms.,Remembering
Explain Risk Projection and Risk Refinement in detail.,Remembering
Implement CMOS NAND Gate using pMOS and nMOS gates.,Remembering
Calculate work done when 2 moles of an ideal gas expand reversibly and isothermally from a volume of 0.,Applying
Derive the conditions for most economical trapezoidal channel section.,Analysing
With a neat block diagram explain overall system of PLC.,Analysing
What is file?,Remembering
Assume that the probability of an individual coal miner being killed in a mine accident during a year is 1 2400.,Applying
"Mr. Vilas brough an air-conditioner for Rs. 20,000; he paid tax of Rs. 2,000 and Rs. 200 for trnsport. If he sold it to a customer forRs. 22,500, what is the percentage profit or loss?",Applying
Describe no load and blocked rotor test conducted on 3 phase induction motor with suitable circuit diagram write down the calculations involved.,Understanding
A cup of 60 mm diameter 60 mm and height is to be drawn from 1 mm thick cold rolled steel with tensile strength 410 MPa.,Applying
Give basic definition of Y parameters explain why Y parameters are called short circuit admittance parameters.,Remembering
Explore the need for a protection mechanism in 80386.,Analysing
"The random variable X has a Poisson distribution.If P(X = 1) = 0.01487, P(X = 2) = 0.04461. Then find P(X = 3).",Applying
Check whether given schedule is view serializable.,Applying
An infinitely long plane uniform plate is bounded by two parallel edges in the y direction and an end at right angles to them.,Analysing
Write a short note on V to I converter with grounded type load.,Understanding
List out the points to be considered for Best Practices of CAD conversion.,Remembering
What is a law of gearing?,Remembering
Draw a neat sketch and explain the working principle of orifice meter derives equation.,Analysing
A solution was prepared by dissolving certain amount of compound in 31.,Applying
Explain the registers in microprocessor.,Remembering
find the moles of oxygen theoretically required to burn100 kg of coke completely?,Applying
Describe the classification of dyes on the basis of chemical structure.,Understanding
State and explain all possible network functions of one port network.,Remembering
With suitable diagram explain construction and working of McLeod gauge.,Understanding
Write a short note on C Data types for 8051 microcontroller.,Remembering
Differentiate between a microprocessor and a microcontroller.,Analysing
What are the general benefits of holding ISO accreditation.,Remembering
Describe the classification of  fault and their engineering significance.,Remembering
Explain any two renewable generation methods with their advantages and drawbacks.,Remembering
Derive the relegation ship between Springs in Series and Parallel.,Analysing
What do you mean by adjacency matrix and adjacency list? Give the adjacency matrix and adjacency list for the graph shown below:,Remembering
What are the rules for overloading operators?,Remembering
Explain the Geological conditions favorable for natural springs and artesian wells.,Understanding
Explain briefly with neat sketch cylindrical and adjustable locators.,Understanding
Classify insulating materials and hence write properties and application of any two materials from Class F type.,Remembering
"–2 b) 1 c) 2 d) –1 iii) The value of 21 2Czdzz where C is | z | = 1,",Applying
What is significance of Pressure measurement?,Remembering
Explain casement window in detail.,Understanding
Write pseudo code to implement circular queue using array.,Applying
Explain with neat sketch different type of ICR.,Remembering
Write a program to create files using constructor function.,Remembering
Enlist any three objectives of testing?,Remembering
Explain extrusion of plastic.,Analysing
What do you meant by retrofitting of concrete?,Remembering
Differentiate between Engineering Stress Strain curve and True stress strain curve.,Analysing
Apply Bessel’s central difference formula to obtain f(32) given that,Applying
Explain the following A VL tree rotations with example.,Understanding
Explain array implementation of priority queue with all basic operation.,Analysing
Explain in brief the exposure time calculation method for screen stencil making process.,Remembering
Draw the connection diagram of star-delta starter used for 3-ph induction motor & explain its working,Remembering
What is logic family?,Remembering
Analyze the stability of soil using friction circle method with neat sketch.,Analysing
Derive the torque equation of dynamometer type wattmeter. Explain the errors and its compensation in dynamometer type wattmeter.,Remembering
Write sudo codes to perform following operations on index sequential file.,Applying
Explain why safety program have to be implemented at work site.,Understanding
Elaborate functional business systen in detail with cross functional enterprise systems.,Remembering
State any six properties of Laplace Transform.,Remembering
Explain and compare point source and diffuse illumination.,Remembering
The furnace wall consists of 120 mm wide refractory brick and 120 mm wide insulating fire brick separated by an air gap.,Applying
Write a short note on proximity effect.,Understanding
Suppose there are two relation r and s such that the foreign key B of r references the primary key A of s.,Applying
Explain the compressive strength of concrete. How it is determined in laboratory.,Remembering
Explain the following.,Understanding
Derive an expression of velocity and shear stress distribution for laminar flow between fixed parallel plates.,Analysing
Causes of Gear Tooth Failure explain in detail.,Analysing
If the probability that an individual suffers a bad reaction from a certain injection is 0.,Applying
Derive general equation for continuity for a 3D flow in Cartesian coordinates for a steady incompressible flow.,Analysing
Define the following terms:,Remembering
Explain any three sheet metal working operations with their working.,Remembering
"Explain foil strain gauge with a neat diagram. Also, state its advantages.",Remembering
Explain Development  in part Modeling in CAD Customization.,Remembering
"Find angle between the normal to the surface xy = z2 at (1,4,2) and (–3,–3,3).",Applying
Explain with a neat diagram CMOS inverter.,Remembering
State characteristics and uses of contour lines.,Remembering
State the Bernoulli is theorem.,Remembering
Draw and explain frequency response of high pass filter.,Remembering
What is monochromatic emissive power?,Remembering
What is parallel projection?,Remembering
Give properties and application of PVC and polyethylene.,Understanding
Differentiate between Reciprocating and Rotary Compressors.,Analysing
Explain extrusion operation with its schematic diagram.,Remembering
Describe a circular linked list.,Remembering
Draw diagram of single phase induction type energy meter and label all the parts.,Remembering
Explain in detail about language features for programming in the large for Ada programming.,Understanding
Design an adjustable voltage regulator using LM317 for output voltage 1.,Applying
"Determine the shear strength in terms of effective stress on a plane within a saturated soil mass at a point where the total normal stress is 200 kN/m2 and pore water pressure is 80 kN/m2. The shear strength parameters in terms of effective stress are, c’ = 16 kN/m2 and ’ = 390.",Applying
What do you mean by molecular machine?,Remembering
Explain a ‘C’ function to insert node in BST (Binary Search Tree).,Applying
Analyze the beam shown in figure 1 by slope deflection method and draw B.,Applying
What is inheritance?,Remembering
For the differential eq.,Analysing
With the necessary diagrams explain entering and leaving V86 mode?,Remembering
Write the comparison between Annealing and Normalizing.,Analysing
The velocity and discharge for a 1 50 scale model of a spillway are 0.,Analysing
Derive the torque equation of for DC motor.,Analysing
Obtain the Inverse Fourier Transform of,Applying
Write a short note on Grey Cast Iron and Nodular Cast Iron.,Remembering
Discuss types of priority queue and how it is different from simple queue.,Remembering
What is a user defined exception? Write down the scenario where we require use define exceptions.,Remembering
Derive the equation for elevation in boiling point and show it is colligative properties.,Applying
Explain in brief the steps required in preparation for screen stretching process.,Remembering
Is it possible to construct a graph with 12 nodes such that 2 of the nodes have degree 3 and the remaining have degree 4.,Analysing
A beam is loaded and supported as shown in Fig.,Applying
Derive the emf equation of a DC machine and hence write the voltage equation of a DC shunt motor.,Analysing
Explain with a neat sketch following parts of belt conveyors.,Analysing
How process scheduling is performed in Linux?,Remembering
Explain PLL operation in detail with neat block diagram.,Remembering
What is scaling?,Remembering
Apply Gauss divergence theorem to evaluate ˆ.,Applying
Differentiate between CRO and DSO.,Remembering
The mean and variance of Binomial distribution are 4 and 2 respectively.,Remembering
Differentiate between Microprocessor and Microcontroller.,Remembering
Explain electrical method for level measurement with a suitable diagram.,Understanding
Write a pseudo code for basic operations of stock.,Applying
State Nyquist theorem and explain Nyquist stability criteria.,Remembering
Explain steps for design of dog legged staircase.,Applying
Calculate the O/P voltage for a DAC whose output range is 0 to 10 V and input binary number 1001.,Applying
Explain the Surge in Springs.,Remembering
Write a python program to add and remove items from a given set.,Applying
Define the functions of Type Checking and Limit Checking in protection.,Remembering
A cylindrical pressure vessel 1.,Applying
Evaluate 2. sxiy j z k d s   Where S is the surface of cylinder 224 xy bounded by planes z = 0 and z = 2.,Applying
What are the main features of ARM7 architecture?,Remembering
Determine shape factor for Circular section having diameter d in m.,Analysing
Explain the various factors that influence the delay period in C.,Understanding
Write a short note on topological sorting.,Applying
Explain fast transpose of sparse matrix with suitable example.,Understanding
What are the different types of cast iron?,Remembering
Explain the concept of Transaction.,Remembering
"Write copy constructor for Employee class, in which objects of string class and Date class are the Data members.",Applying
Write a short note on Reluctance motor.,Understanding
State the limitations of Fourier Transform and need of laplace transform.,Remembering
Calculate the coefficient of correlation from the following data.,Applying
What is Log Based Recovery?,Remembering
What is topological sorting?,Remembering
Explain the effect of loading on induction motor.,Understanding
Define transducer and state detailed classification of transducers.,Remembering
Derive an expression for armature torque developed in a DC motor.,Analysing
Determine the z parameters for the circuit shown in Fig.,Applying
Explain construction of brushless DC motor.,Remembering
A both ends hinged cast iron hollow cylindrical column 3 m in length has a critical buckling load of P kN.,Applying
Explain the different mechanical properties of Ceramics.,Analysing
What is garbage collection in Java?,Remembering
With suitable diagram explain constructional details of 3pahse slipring induction motor.,Understanding
A switch and an LED is connected to 8051 as shown in diagram.,Applying
Explain the various methods to protect slopes from failure with clear sketch.,Remembering
Explain function over loading & function overriding in detail.,Remembering
The beam is supported and loaded as shown in figure. Determine the position and value of Maximum deflection EI = 1.4 × 1011 kN-mm2. Use Macauly’s method.,Applying
List various commutation techniques.,Analysing
Explain MIG welding processes with a neat sketch.,Remembering
What is DRAM? What are its  advantages and disadvantages?,Remembering
Define Exception.,Remembering
Enlist the feature of the Programmable Interrupt Controller Intel 82C59A.,Remembering
A badminton hall to be provided with a lighting installation.,Applying
Calculate the atomic packaging factor for FCC and HCP crystal structure.,Applying
Explain different collapse mechanisms in plastic analysis with diagram.,Remembering
What is the criterion of chemical reaction equilibria?,Remembering
What are various types of air conditioning systems?,Remembering
Explain in detail combined diffuse and specular reflections with multiple light sources.,Analysing
Explain how to use a particular package in a Java program.,Understanding
What is neutral axis in case of bending?,Remembering
Explain in brief the Indirect screen stencil making process.,Remembering
Explain the system address and system segment registers.,Understanding
Explain with neat diagram - Single Electron Transistor (SET),Remembering
Implement a program for maintaining a database of student records using Files.,Applying
What is Age Hardening?,Remembering
Differentiate between following.,Analysing
Differentiate between Battery EV and Hybrid EV.,Remembering
What do you mean by Totem Pole output?,Remembering
Derive the condition for maximum starting torque of 3 phase induction motors with usual notations.,Analysing
Draw and explain circuit for generating 15V supply using IC7815.,Understanding
What is Additive Manufacturing?,Remembering
"Compare the project by NPV and B/C ratio method and state its feasibility if project cost is Rs. 2,80,000 and it has net cash flow of Rs. 90,000 fora peiod 4 years. Firm expect returns 10% per annum.",Applying
Explain the functions of following pins of ADC 0809.,Understanding
Explain the use of BSR mode of 8255.,Understanding
A beam of length 5 m and of uniform rectangular section is simply supported at its ends.,Applying
Define annealing and explain types of annealing?,Remembering
What is a deadlock?,Remembering
Define Queue.,Remembering
Draw and explain DMA block diagram.,Remembering
A feedback control system is described as.,Remembering
Explain flat type solar collector and its application.,Remembering
What is fluidization?,Remembering
Explain Intrusion Detection System with merits and demerits.,Applying
20% of bolts produced by a machine are defective. Determine the probability that out of 4 bolts. Chosen at random:,Applying
Explain any Electric vehicle in detail.,Remembering
How do you express the life of a bearing?,Remembering
Define the terms in solar energy system.,Remembering
What is basic principle of working piezoelectric pressure sensors?,Remembering
Draw circuit diagram of frequency multiplier using PLL and explain in detial.,Understanding
Illustrate process reaction curve tuning method in detail.,Understanding
Explain the working of PV cell and Simplest Equivalent Circuit for a Photovoltaic Cell.,Remembering
What are the problems of managing data resources in a traditional file environment?,Remembering
"Find the directional derivative of 2xyy z  at the point (1, –1, 1) to wards point (2, 1, 2).",Applying
Explain the following operations performed on lathe with suitable sketch.,Analysing
Explain vacuum bag moldig composite manufacturing process.,Remembering
Describe Packet format of IPv6 in detail with suitable diagram.,Analysing
Explain CAD geometry cleanup and tools used for it.,Remembering
Describe Cloud of Things.,Remembering
Write a pseudo code for binary search apply you algorithm on the following no.,Analysing
Explain name space with example.,Remembering
State and write any six properties of Fourier Transform.,Remembering
Illustrate difference between conflict serializable schedule and view serializable schedual by an appropriate example.,Remembering
Illustrate the following Map methods with an example.,Understanding
What is spur gear?,Remembering
Describe and explain the various methods used for gene transfer to plant cells.,Analysing
Explain Design issues of Super scalar processor.,Understanding
State the circumstances under which you will use the following types of stairs.,Applying
Describe with neat diagram - Nano wires.,Remembering
Explain requirements of a good building stone.,Remembering
A column support load of 400 KN is shown in figure 8.,Applying
With the help of diagram explain the diesel power plant.,Understanding
Draw schematic diagram of EDM.,Applying
Write the short note on application of PLL,Remembering
Explain how GIS is an important tool for civil engineers.,Understanding
Describe photo interpretation elements of aerial photographs.,Remembering
Explain Java history in detail.,Understanding
What are zeolites?,Remembering
Describe in brief any one method for the speed control of a three phase induction motor.,Remembering
What is sequential logic circuits?,Remembering
What  is Software Architecture?,Remembering
The probability of a man hitting a target is 1 3.,Applying
Determine the vertical and horizontal deflection at point ‘C’ for the truss shown below.,Applying
Define the following terms with suitable example.,Understanding
Explain impact of temperature and insolation on I-V curves of PV cells.,Remembering
Construct a binary tree from the given traversal.,Applying
Draw and explain the block diagram of LM 337 and list the specification of it?,Remembering
Write down program to overload unary operators?,Applying
Explain the behaviour of ferromagnetic material under curie temperature.,Remembering
Differentiate TTL and CMOS logic family.,Analysing
Define Inheritance.,Remembering
Explain Register organization of microprocessor 8086.,Remembering
What does inheritance mean in C++? Give an example of each.,Remembering
The initial tension in a flat belt drive is 1800N.,Applying
What is dynamic data structure?,Remembering
Explain principle of resistance welding.,Understanding
State & explain along with diagram Law of intermediate temperatures and law of intermediate metals of thermocouple. comment on relationship between temperature & output voltage.,Remembering
Define multithreading?,Remembering
What is doubly linked list?,Remembering
Explain in brief procedure of setting out of tunnel centreline and transferring underground?,Applying
Differentiate between NBFM and WBFM.,Remembering
With neat waveforms explain the ALT and CHOP modes in dual trace oscilloscope.,Understanding
Write short note on CASE TOOLS for software development.,Remembering
Write short note on external sort.,Remembering
Explain the concept of transaction.,Remembering
Explain 1860 with block diagram.,Understanding
Use the Seidel method to solve the following set of equations.,Applying
A coin is tossed 4 times.,Applying
"If u = 1 2 log ( x2 + y2), find V such that f (z) = u + iv is analytic function. Express f (z) in terms of z.",Applying
What are heat capacities at constant volume and constant pressure?,Remembering
What is the purpose of Leaky bucket and token bucket algorithms?,Remembering
What is curve interpolation ?,Remembering
Explain the process of municipal solid waste to energy conversion.,Understanding
What is adjustable cushioning of air cylinder?,Remembering
Draw the architecture of 8086. And enlist the features of it.,Remembering
Explain importance of preliminary geological exploration in civil engineering.,Understanding
What is instruction hazard?,Remembering
Which are the factor that affect on the output of the voltage regulator?,Remembering
Explain in brief RAID levels in detail.,Understanding
Explain in detail about seperate and independant compilation.,Understanding
Explain Subnetting and Supernetting with example.,Analysing
A solid circular shaft is subjected to a bending moment of 45 kNm and a torque of 15 kNm.,Applying
Explain working of the POP3 protocol with advantages and disadvantages.,Remembering
Explain the construction and working of the shaded pole induction motor with the help of a suitable diagram.,Remembering
What are the merits and demerits of PLC.,Remembering
Define query processing.,Remembering
Explain in brief components of Lab VIEW application.,Applying
Explain the different types of welding electrodes used in arc welding process?,Remembering
Describe effect of wall moment with respect to earth pressure.,Remembering
"Verify at 5% level of significance and 4 degrees of freedom if the distribution can be assumed to be poisson given: # defects : 0 1 2 3 4 5 Frequency : 6 13 13 8 4 3 Take 20.135. e  in the calculations round off the frequencies to the immediate higher integral value. Take 2 5,0.05 11.07",Applying
Explain the following characteristics of TTL logic families.,Remembering
Find the greatest length of a mild steel rod 25 mm X 25 mm which can be used as a compression member with one end fixed and the other endfree to carry a working load of 35 kN.,Applying
What is translation?,Remembering
What do you mean by carbon nanotubes?,Remembering
Explain Network Address Translation with suitable diagram.,Remembering
Derive the e.,Analysing
Differentiate between a compound die and a combination die.,Analysing
List different configuration of differential amplifier and explain dual input dual output in details?,Remembering
An electric current consists of an inductance 0.,Applying
What is Generic programming?,Remembering
Enlist different methods of contouring? Explain any one with detailed sketch?,Remembering
Compare linear and switching mode power supply.,Remembering
What is Nanotechnology?,Remembering
"The resisting force R of a supersonic plane during the flight can be considered as dependent upon the length of the aircaft l, velocity V , air viscosity μ, air density ρ, and bulk modulus of air K. Express the functional relationship between these variables and the resisting force.Use Buckingham’s Π Method",Analysing
Define Draft tube.,Remembering
Draw & explain the working principle of venturi meter. Derive the equation of actual flow rate from it.,Remembering
What is the difference between Inheritance and Containment?,Analysing
Describe with neat circuit diagram Schering bridge.,Understanding
Write short note on SPI protocol.,Remembering
Explain the growth of pharmaceutical packaging industry in India.,Remembering
Explain in details Fajans method for precipitaion titration.,Applying
Discuss on tunnel excavated through faulted area.,Analysing
Write an applications of GIS in civil engg.,Applying
Explain Kinematic modeling in Virtual Reality.,Analysing
Write a short note on.,Remembering
Define hardenability?,Remembering
Explain rotation about an arbitrary axis in 3D.,Applying
What is the difference in calculation of self GMD or GMR of inductance and capacitance?,Analysing
What is Decomposition Technique?,Remembering
Explain seismic waves in detail.,Remembering
Derive formula for numerical differentiation of first order using Newton’s forward interpolation technique.,Analysing
Give difference between Hardwired Control Vs Microprogrammed Control.,Analysing
Explain relay interfacing with 8051 microcontroller.,Remembering
Explain four quadrant operation of motor driving a hoist load.,Remembering
Calculate the coefficient of correlation for the following data.,Applying
Write a short note on Fibonacci search with suitable example.,Remembering
Explain file opening modes in detail.,Remembering
